query,entrezgene,name,symbol,alias,taxid,RGD
AATK,690853,apoptosis-associated tyrosine kinase,Aatk,,10116,RGD:1590980
ACADS,64304,acyl-CoA dehydrogenase short chain,Acads,Scad,10116,RGD:620514
ACOD1,306127,aconitate decarboxylase 1,Acod1,"Irg1, RGD1563454",10116,RGD:1563454
ACTC1,29275,"actin, alpha, cardiac muscle 1",Actc1,,10116,RGD:2026
ACTN1,81634,"actinin, alpha 1",Actn1,,10116,RGD:70907
ACTR5,362258,actin related protein 5,Actr5,,10116,RGD:1307958
ACVR2A,29263,activin A receptor type 2A,Acvr2a,"Acvr2, rActR-II",10116,RGD:70911
ADCK1,366698,aarF domain containing kinase 1,Adck1,,10116,RGD:1308263
ADCY2,81636,adenylate cyclase 2,Adcy2,AC2,10116,RGD:619965
ADCY8,29241,adenylate cyclase 8,Adcy8,Ac8,10116,RGD:2036
ADRB1,24925,adrenoceptor beta 1,Adrb1,"B1AR, RATB1AR",10116,RGD:2059
AGBL2,366124,AGBL carboxypeptidase 2,Agbl2,RGD1306827,10116,RGD:1306827
AKAP6,64553,A-kinase anchoring protein 6,Akap6,mAkap,10116,RGD:69412
AKT3,29414,AKT serine/threonine kinase 3,Akt3,Pkbg,10116,RGD:62390
AMBRA1,59319,autophagy and beclin 1 regulator 1,Ambra1,Nyw1,10116,RGD:621330
ANAPC4,305420,anaphase promoting complex subunit 4,Anapc4,,10116,RGD:1306572
ANKRD55,361898,ankyrin repeat domain 55,Ankrd55,RGD1307735,10116,RGD:1307735
ANKS1B,314721,ankyrin repeat and sterile alpha motif domain containing 1B,Anks1b,"AIDA-1, EB-1, RGD1565556",10116,RGD:1565556
ANO2,100361584,anoctamin 2,Ano2,,10116,RGD:1591606
ARL3,64664,ADP ribosylation factor like GTPase 3,Arl3,,10116,RGD:69327
ARPP21,363153,cAMP regulated phosphoprotein 21,Arpp21,"Arpp-21, Ppp1r1c, Ppp1r1cl, RGD1307208, RGD1307215",10116,RGD:1593239
ARRDC4,293019,arrestin domain containing 4,Arrdc4,"Ab1-209, LRRG00117",10116,RGD:1311763
ASXL3,307555,ASXL transcriptional regulator 3,Asxl3,RGD1305869,10116,RGD:1305869
ATP2A2,29693,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,Atp2a2,"Serca2, SercaII",10116,RGD:2174
ATP6V1G3,289407,ATPase H+ transporting V1 subunit G3,Atp6v1g3,,10116,RGD:1304635
ATP9A,84011,ATPase phospholipid transporting 9A (putative),Atp9a,,10116,RGD:621421
AURKB,114592,aurora kinase B,Aurkb,"ARK-2, Aim1, STK-1, Stk12",10116,RGD:621625
BAG5,366734,BAG cochaperone 5,Bag5,Bag5l1,10116,RGD:1310847
BAIAP2,117542,BAR/IMD domain containing adaptor protein 2,Baiap2,Irsp53,10116,RGD:619814
BANK1,365948,B-cell scaffold protein with ankyrin repeats 1,Bank1,LRRGT00104,10116,RGD:1564639
BBX,303970,BBX high mobility group box domain containing,Bbx,,10116,RGD:1309769
BCL10,83477,"BCL10, immune signaling adaptor",Bcl10,,10116,RGD:620544
BCL11B,314423,BCL11 transcription factor B,Bcl11b,Ctip2,10116,RGD:1311128
BIN3,361065,bridging integrator 3,Bin3,,10116,RGD:1308253
ARNTL,29657,basic helix-loop-helix ARNT like 1,Bmal1,Arntl,10116,RGD:62003
BORCS6,497934,BLOC-1 related complex subunit 6,Borcs6,,10116,RGD:1563885
BPTF,303617,bromodomain PHD finger transcription factor,Bptf,Falz,10116,RGD:1307039
BRAF,114486,"B-Raf proto-oncogene, serine/threonine kinase",Braf,,10116,RGD:619908
CACNA1C,24239,calcium voltage-gated channel subunit alpha1 C,Cacna1c,RATIVS302,10116,RGD:2245
CACNA1I,56827,calcium voltage-gated channel subunit alpha1 I,Cacna1i,,10116,RGD:68944
CACNA2D3,306243,calcium voltage-gated channel auxiliary subunit alpha2delta 3,Cacna2d3,,10116,RGD:631361
CACNB2,116600,calcium voltage-gated channel auxiliary subunit beta 2,Cacnb2,Cacnlb2,10116,RGD:67385
CALCOCO1,246047,calcium binding and coiled coil domain 1,Calcoco1,,10116,RGD:619812
CAMTA1,362665,calmodulin binding transcription activator 1,Camta1,,10116,RGD:1562703
CARMIL1,306941,capping protein regulator and myosin 1 linker 1,Carmil1,"Lrrc16, Lrrc16a",10116,RGD:1306623
CCDC68,291530,coiled-coil domain containing 68,Ccdc68,RGD1561424,10116,RGD:1561424
CD276,315716,Cd276 molecule,Cd276,"B7RP-2, B7h3",10116,RGD:727815
CD320,362851,CD320 molecule,Cd320,"RGD1305860, TCblR",10116,RGD:1305860
CELF4,307540,"CUGBP, Elav-like family member 4",Celf4,Brunol4,10116,RGD:1307630
CHRNA3,25101,cholinergic receptor nicotinic alpha 3 subunit,Chrna3,,10116,RGD:2345
CLU,24854,clusterin,Clu,"APOJ, CLI, DAG, RATTRPM2B, SGP-2",10116,RGD:3907
CNGB3,500418,cyclic nucleotide gated channel subunit beta 3,Cngb3,"Cng6, RGD1565364",10116,RGD:1565364
CNNM4,363216,cyclin and CBS domain divalent metal cation transport mediator 4,Cnnm4,,10116,RGD:1305571
CNTN4,116658,contactin 4,Cntn4,"Axcam, Big-2",10116,RGD:621361
COL22A1,315071,collagen type XXII alpha 1 chain,Col22a1,,10116,RGD:1309081
CPT1C,308579,carnitine palmitoyltransferase 1c,Cpt1c,"CPT IC, CPT1-B, CPTI-B",10116,RGD:1305384
CSE1L,362273,chromosome segregation 1 like,Cse1l,,10116,RGD:1307536
CSMD1,364634,CUB and Sushi multiple domains 1,Csmd1,Mdcr1,10116,RGD:1305103
CTNNA1,307505,catenin alpha 1,Ctnna1,Catna1,10116,RGD:1359485
CTNND1,311163,catenin delta 1,Ctnnd1,"Catns, P120",10116,RGD:1305643
CTSC,25423,cathepsin C,Ctsc,"CATC, DPP-I, DPPI",10116,RGD:2445
CTTNBP2,282587,cortactin binding protein 2,Cttnbp2,"Cbp90, Cortbp2",10116,RGD:628691
CXCL1,81503,C-X-C motif chemokine ligand 1,Cxcl1,"CINC-1, Gro1",10116,RGD:619869
CYRIB,299909,CYFIP related Rac1 interactor B,Cyrib,"Fam49b, RGD1307697",10116,RGD:1307697
DCC,25311,DCC netrin 1 receptor,Dcc,,10116,RGD:2492
DDAH1,64157,dimethylarginine dimethylaminohydrolase 1,Ddah1,,10116,RGD:70968
DEF8,307973,differentially expressed in FDCP 8 homolog,Def8,,10116,RGD:1309008
DGKI,688705,"diacylglycerol kinase, iota",Dgki,rDGKi-3,10116,RGD:735049
DMP1,25312,dentin matrix acidic phosphoprotein 1,Dmp1,DENTMAT,10116,RGD:2508
DMRTA1,313352,DMRT-like family A1,Dmrta1,,10116,RGD:1309796
DNM3,171574,dynamin 3,Dnm3,dynamin-2,10116,RGD:727949
DOCK4,366608,dedicator of cytokinesis 4,Dock4,,10116,RGD:1561724
DPP6,29272,dipeptidyl peptidase like 6,Dpp6,DPP VI,10116,RGD:68402
DRAXIN,691317,dorsal inhibitory axon guidance protein,Draxin,,10116,RGD:1585098
DRD2,24318,dopamine receptor D2,Drd2,,10116,RGD:2520
DUSP29,361003,dual specificity phosphatase 29,Dusp29,Dupd1,10116,RGD:1310229
ECPAS,313196,Ecm29 proteasome adaptor and scaffold,Ecpas,RGD1306148,10116,RGD:1306148
EDIL3,688400,EGF like repeats and discoidin domains 3,Edil3,,10116,RGD:1588887
EGR3,25148,early growth response 3,Egr3,EGR-3,10116,RGD:2545
ENOX1,306038,ecto-NOX disulfide-thiol exchanger 1,Enox1,RGD1306118,10116,RGD:1306118
EPHB1,24338,Eph receptor B1,Ephb1,"Ephb2, Erk, elk",10116,RGD:2556
EPHX2,65030,epoxide hydrolase 2,Ephx2,,10116,RGD:620732
ESR2,25149,estrogen receptor 2,Esr2,"ER-beta, ERbeta, Erb2",10116,RGD:2582
FADS2,83512,fatty acid desaturase 2,Fads2,Fadsd6,10116,RGD:68339
FAM120A,291019,family with sequence similarity 120A,Fam120a,RGD1306643,10116,RGD:1306643
FAM174A,301634,"family with sequence similarity 174, member A",Fam174a,"Fam174, RGD1309973, Tmem157",10116,RGD:1309973
FBXL17,316663,F-box and leucine-rich repeat protein 17,Fbxl17,,10116,RGD:1309773
FBXW12,301015,F-box and WD repeat domain containing 12,Fbxw12,RGD1307859,10116,RGD:1307859
FES,361597,"FES proto-oncogene, tyrosine kinase",Fes,RGD1564385,10116,RGD:1564385
FGFR1,79114,Fibroblast growth factor receptor 1,Fgfr1,"FGFR-1, MFR, bFGF-R, bFGF-R-1, c-fgr",10116,RGD:620713
FLNC,362332,filamin C,Flnc,"ABP-L, FLN-C",10116,RGD:1308807
FOXB1,367106,forkhead box B1,Foxb1,,10116,RGD:1305217
FOXP2,500037,forkhead box P2,Foxp2,RGD1559697,10116,RGD:1559697
FURIN,54281,furin (paired basic amino acid cleaving enzyme),Furin,"Pace, Pcsk3",10116,RGD:3274
GABBR2,83633,gamma-aminobutyric acid type B receptor subunit 2,Gabbr2,Gpr51,10116,RGD:619864
GID4,687192,GID complex subunit 4,Gid4,,10116,RGD:1588894
GIGYF2,100362458,GRB10 interacting GYF protein 2,Gigyf2,,10116,RGD:2318130
GJD2,50564,"gap junction protein, delta 2",Gjd2,"Cx36, Cxns, Gja9",10116,RGD:2694
GLIS3,680671,GLIS family zinc finger 3,Glis3,RGD1565505,10116,RGD:1565505
GMIP,306357,Gem-interacting protein,Gmip,RGD1565577,10116,RGD:1565577
GNGT1,680149,G protein subunit gamma transducin 1,Gngt1,Hg3g1,10116,RGD:1595475
GPC6,691984,glypican 6,Gpc6,,10116,RGD:1593308
GPM6A,306439,glycoprotein m6a,Gpm6a,M6a,10116,RGD:631368
GPR135,314213,G protein-coupled receptor 135,Gpr135,,10116,RGD:727844
GRID1,79219,glutamate ionotropic receptor delta type subunit 1,Grid1,GluD1,10116,RGD:68366
GRID2,79220,glutamate ionotropic receptor delta type subunit 2,Grid2,GluD2,10116,RGD:68368
