query,entrezgene,name,symbol,alias,taxid,RGD
ABCA1,313210,ATP binding cassette subfamily A member 1,Abca1,,10116,RGD:631344
ACAA2,170465,acetyl-CoA acyltransferase 2,Acaa2,,10116,RGD:620482
ACTN1,81634,"actinin, alpha 1",Actn1,,10116,RGD:70907
ACTRT2,298671,actin-related protein T2,Actrt2,,10116,RGD:1359657
ADAMTS6,361886,"ADAM metallopeptidase with thrombospondin type 1 motif, 6",Adamts6,,10116,RGD:1307678
ADGRD1,689257,adhesion G protein-coupled receptor D1,Adgrd1,Gpr133,10116,RGD:1594795
AGBL1,308724,AGBL carboxypeptidase 1,Agbl1,RGD1560280,10116,RGD:1560280
ALDH1A2,116676,"aldehyde dehydrogenase 1 family, member A2",Aldh1a2,Raldh-2,10116,RGD:620250
APBB2,305338,amyloid beta precursor protein binding family B member 2,Apbb2,RGD1562438,10116,RGD:1562438
APCS,29339,"amyloid P component, serum",Apcs,Sap,10116,RGD:68322
ARFGEF2,296380,ADP ribosylation factor guanine nucleotide exchange factor 2,Arfgef2,Big2,10116,RGD:631430
ARHGAP25,500246,Rho GTPase activating protein 25,Arhgap25,RGD1562105,10116,RGD:1562105
ARHGAP15,303583,Rho GTPase activating protein 27,Arhgap27,"Arhgap15, CAMGAP1",10116,RGD:735202
ATP5MK,171069,ATP synthase membrane subunit K,Atp5mk,"Atp5md, Dapit, Usmg5",10116,RGD:631426
AUTS2,304419,autism susceptibility candidate 2-like 1,Auts2l1,"Auts2, Auts2l",10116,RGD:1309972
BICRA,292622,BRD4 interacting chromatin remodeling complex associated protein,Bicra,Gltscr1,10116,RGD:1306385
BNIPL,361994,BCL2 interacting protein like,Bnipl,,10116,RGD:1309478
BPNT2,312952,"3'(2'), 5'-bisphosphate nucleotidase 2",Bpnt2,"IMP 3, Impad1, RGD1306455, gPAPP",10116,RGD:1306455
CAP2,116653,cyclase associated actin cytoskeleton regulatory protein 2,Cap2,,10116,RGD:620310
CBX4,501403,chromobox 4,Cbx4,,10116,RGD:1587243
CCDC171,502957,coiled-coil domain containing 171,Ccdc171,"RGD1309931, RGD1560884",10116,RGD:1560884
CD274,499342,CD274 molecule,Cd274,"Pdcd1lg1, RGD1566211",10116,RGD:1566211
CDH6,25409,cadherin 6,Cdh6,KCAD,10116,RGD:2322
CELF4,307540,"CUGBP, Elav-like family member 4",Celf4,Brunol4,10116,RGD:1307630
CGNL1,315795,cingulin-like 1,Cgnl1,RGD1304623,10116,RGD:1304623
CHST11,314694,carbohydrate sulfotransferase 11,Chst11,C4ST1,10116,RGD:1308400
CLVS2,361459,clavesin 2,Clvs2,"Clavesin-2, RGD1306801, Rlbp1l2",10116,RGD:1306801
CNOT6,287249,"CCR4-NOT transcription complex, subunit 6",Cnot6,"CCR4, RGD1310783",10116,RGD:1310783
CNTNAP5,297846,contactin associated protein-like 5C,Cntnap5c,"Caspr5-4, Cntnap5, Cntnap5d, RGD1566343",10116,RGD:1566343
COL23A1,353303,collagen type XXIII alpha 1 chain,Col23a1,,10116,RGD:727898
CORO1B,29474,coronin 1B,Coro1b,,10116,RGD:2382
CPT1C,308579,carnitine palmitoyltransferase 1c,Cpt1c,"CPT IC, CPT1-B, CPTI-B",10116,RGD:1305384
CRACD,289568,capping protein inhibiting regulator of actin dynamics,Cracd,RGD1311575,10116,RGD:1311575
CSE1L,362273,chromosome segregation 1 like,Cse1l,,10116,RGD:1307536
CSMD2,313040,CUB and Sushi multiple domains 2,Csmd2,RGD1565728,10116,RGD:1565728
CSTF3,362178,cleavage stimulation factor subunit 3,Cstf3,,10116,RGD:1305901
CYP2D6,171522,"cytochrome P450, family 2, subfamily d, polypeptide 4",Cyp2d4,"Cyp2d18, Cyp2d22, Cyp2d4v1, Cyp2d4v2, Cyp2d6",10116,RGD:620640
DCLK2,310698,doublecortin-like kinase 2,Dclk2,"CL2, CLICK-II, CLICK2, Dck2, RGD1308384",10116,RGD:1308384
DELE1,307480,DAP3 binding cell death enhancer 1,Dele1,"DELE1(L), Dele, RGD735029",10116,RGD:735029
DGKG,25666,"diacylglycerol kinase, gamma",Dgkg,"DGK-III, DGKIII, Dagk3",10116,RGD:2499
DMD,24907,dystrophin,Dmd,DNADMD1,10116,RGD:2507
DPP6,29272,dipeptidyl peptidase like 6,Dpp6,DPP VI,10116,RGD:68402
DTWD1,296119,DTW domain containing 1,Dtwd1,RGD1311144,10116,RGD:1311144
ECHDC3,684538,enoyl CoA hydratase domain containing 3,Echdc3,,10116,RGD:1589147
EGFLAM,365691,"EGF-like, fibronectin type III and laminin G domains",Egflam,RGD1306592,10116,RGD:1306592
EPB41,313052,erythrocyte membrane protein band 4.1,Epb41,"Epb4.1, RGD1564762",10116,RGD:1564762
EXOC4,116654,exocyst complex component 4,Exoc4,"ALR, Sec8, Sec8l1",10116,RGD:621791
FAM204A,308004,"family with sequence similarity 204, member A",Fam204a,RGD1305500,10116,RGD:1305500
FANCG,691105,FA complementation group G,Fancg,,10116,RGD:1587477
FGF4,116499,fibroblast growth factor 4,Fgf4,"Fgf7a, Hst, Hst1",10116,RGD:620127
FOXD2,313504,forkhead box D2,Foxd2,,10116,RGD:1304642
FOXF2,364707,forkhead box F2,Foxf2,,10116,RGD:1589717
FRMD4A,307128,FERM domain containing 4A,Frmd4a,RGD1309050,10116,RGD:1309050
FSTL4,303130,follistatin-like 4,Fstl4,,10116,RGD:1307227
GBP1,304266,guanylate binding protein 1,Gbp1,,10116,RGD:1311877
GGA1,300066,"golgi associated, gamma adaptin ear containing, ARF binding protein 1",Gga1,,10116,RGD:1307770
GPC1,58920,glypican 1,Gpc1,"HSPG M12, HSPGM12",10116,RGD:61853
GPR152,688884,G protein-coupled receptor 152,Gpr152,,10116,RGD:1584082
GRHL2,299979,grainyhead-like transcription factor 2,Grhl2,RGD1561191,10116,RGD:1561191
GRIN2B,24410,glutamate ionotropic receptor NMDA type subunit 2B,Grin2b,GluN2B,10116,RGD:2738
HBE1,94164,hemoglobin subunit gamma 1,Hbg1,"Glnb2, Hbb-y, Hbe1",10116,RGD:620306
IL12RB2,171334,interleukin 12 receptor subunit beta 2,Il12rb2,,10116,RGD:620026
IZUMO3,100362588,IZUMO family member 3,Izumo3,,10116,RGD:2324467
KAZN,313672,"kazrin, periplakin interacting protein",Kazn,Kaz,10116,RGD:1359147
KCND3,65195,potassium voltage-gated channel subfamily D member 3,Kcnd3,Kv4.3,10116,RGD:68394
KCTD15,499129,potassium channel tetramerization domain containing 15,Kctd15,,10116,RGD:1583737
KIF26B,305012,kinesin family member 26B,Kif26b,"RGD1560022, RGD1560572",10116,RGD:1560022
KYNU,116682,kynureninase,Kynu,,10116,RGD:71061
U6,120093505,U6 spliceosomal RNA,LOC120093505,U6,10116,RGD:41018048
LGALS2,171134,galectin 2,Lgals2,,10116,RGD:621269
LYZ,25211,lysozyme 2,Lyz2,"Lysz, Lyz, Lyz1",10116,RGD:3026
MAP2K1,170851,mitogen activated protein kinase kinase 1,Map2k1,Mek1,10116,RGD:70495
METAZOA_SRP,,Metazoan signal recognition particle RNA,Metazoa_SRP,,10116,
